VARIABLE,LABEL,CODE,DESCRIPTION
ADVERSE_EVENT,"01: Surgery performed on a wrong body part, inconsistent with informed consent",01,
ADVERSE_EVENT,02: Surgery performed on the wrong patient,02,
ADVERSE_EVENT,"03: Wrong surgical procedure performed, inconsistent with the informed consent",03,
ADVERSE_EVENT,04: Retention of a foreign object in a patient,04,
ADVERSE_EVENT,05: Death during or up to 24 hours after induction of anesthesia after surgery,05,
ADVERSE_EVENT,"06: Death/serious disability associated with the use of a contaminated drug, device, or biologic",06,
ADVERSE_EVENT,07: Death/serious disability associated with the use of device other than as intended,07,
ADVERSE_EVENT,08: Death/serious disability associated with intravascular air embolism,08,
ADVERSE_EVENT,09: Infant discharged to the wrong person,09,
ADVERSE_EVENT,10: Death/serious disability associated with patient disappearance for more than four hours,10,
ADVERSE_EVENT,11: Patient suicide or attempted suicide resulting in serious disability after admission,11,
ADVERSE_EVENT,12: Death/serious disability associated with a medication error,12,
ADVERSE_EVENT,13: Death/serious disability associated with the administration of ABO-incompatible blood or blood products,13,
ADVERSE_EVENT,14: Maternal death/serious disability associated with labor/delivery/within 42 days post-delivery,14,
ADVERSE_EVENT,15: Death/serious disability directly related to hypoglycemia,15,
ADVERSE_EVENT,16: Death/serious disability associated with failure to identify/treat hyperbilirubinemia,16,
ADVERSE_EVENT,"17: Stage 3 or 4 pressure ulcer, acquired after admission, excluding Stage 2 ulcers recognized upon admission",17,
ADVERSE_EVENT,18: Death/serious disability due to spinal manipulative therapy,18,
ADVERSE_EVENT,19: Death/serious disability associated with an electric shock,19,
ADVERSE_EVENT,20: Oxygen or other gas line contains wrong gas or is contaminated by a toxic substance,20,
ADVERSE_EVENT,21: Death/serious disability associated with a burn,21,
ADVERSE_EVENT,22: Patient death associated with a fall,22,
ADVERSE_EVENT,23: Death/serious disability associated with use of restraints/bedrails,23,
ADVERSE_EVENT,24: Care ordered by or provided by impersonating a licensed provider,24,
ADVERSE_EVENT,25: Abduction of a patient of any age,25,
ADVERSE_EVENT,26: Sexual assault on a patient within or on the grounds of a health facility,26,
ADVERSE_EVENT,27: Death/significant injury of a patient or staff from a physical assault,27,
ADVERSE_EVENT,28: Adverse event/series of adverse events caused the death/serious disability of a patient/personnel/visitor,28,
AE_CATEGORY,01 - Surgical Events,01,"01: Surgery performed on a wrong body part, inconsistent with informed consent"
AE_CATEGORY,01 - Surgical Events,02,02: Surgery performed on the wrong patient
AE_CATEGORY,01 - Surgical Events,03,"03: Wrong surgical procedure performed, inconsistent with the informed consent"
AE_CATEGORY,01 - Surgical Events,04,04: Retention of a foreign object in a patient
AE_CATEGORY,01 - Surgical Events,05,05: Death during or up to 24 hours after induction of anesthesia after surgery
AE_CATEGORY,02 - Product or Device Events,06,"06: Death/serious disability associated with the use of a contaminated drug, device, or biologic"
AE_CATEGORY,02 - Product or Device Events,07,07: Death/serious disability associated with the use of device other than as intended
AE_CATEGORY,02 - Product or Device Events,08,08: Death/serious disability associated with intravascular air embolism
AE_CATEGORY,03 - Patient Protection Events,09,09: Infant discharged to the wrong person
AE_CATEGORY,03 - Patient Protection Events,10,10: Death/serious disability associated with patient disappearance for more than four hours
AE_CATEGORY,03 - Patient Protection Events,11,11: Patient suicide or attempted suicide resulting in serious disability after admission
AE_CATEGORY,04 - Care Management Events,12,12: Death/serious disability associated with a medication error
AE_CATEGORY,04 - Care Management Events,13,13: Death/serious disability associated with the administration of ABO-incompatible blood or blood products
AE_CATEGORY,04 - Care Management Events,14,14: Maternal death/serious disability associated with labor/delivery/within 42 days post-delivery
AE_CATEGORY,04 - Care Management Events,15,15: Death/serious disability directly related to hypoglycemia
AE_CATEGORY,04 - Care Management Events,16,16: Death/serious disability associated with failure to identify/treat hyperbilirubinemia
AE_CATEGORY,04 - Care Management Events,17,"17: Stage 3 or 4 pressure ulcer, acquired after admission, excluding Stage 2 ulcers recognized upon admission"
AE_CATEGORY,04 - Care Management Events,18,18: Death/serious disability due to spinal manipulative therapy
AE_CATEGORY,05 - Environmental Events,19,19: Death/serious disability associated with an electric shock
AE_CATEGORY,05 - Environmental Events,20,20: Oxygen or other gas line contains wrong gas or is contaminated by a toxic substance
AE_CATEGORY,05 - Environmental Events,21,21: Death/serious disability associated with a burn
AE_CATEGORY,05 - Environmental Events,22,22: Patient death associated with a fall
AE_CATEGORY,05 - Environmental Events,23,23: Death/serious disability associated with use of restraints/bedrails
AE_CATEGORY,06 - Criminal Events,24,24: Care ordered by or provided by impersonating a licensed provider
AE_CATEGORY,06 - Criminal Events,25,25: Abduction of a patient of any age
AE_CATEGORY,06 - Criminal Events,26,26: Sexual assault on a patient within or on the grounds of a health facility
AE_CATEGORY,06 - Criminal Events,27,27: Death/significant injury of a patient or staff from a physical assault
AE_CATEGORY,07 - Other,28,28: Adverse event/series of adverse events caused the death/serious disability of a patient/personnel/visitor