OBJECTID,NAME,LINK,ADDRESS,CITY,ZIP,ZIP4,PHONE,FAX,ACUTE,ICU,CAH,Heli,Weblink,Beds_Total,Beds_Total_ICU,Updated,Beds_Psychiatric,x,y
58,Quincy Valley Medical Center,58,908 10th Ave SW,Quincy,98848,1376,(509) 787-3531,(509) 787-2016,Yes,No,Yes,Yes,https://quincyhospital.org/,25,0,5/5/2025 12:00:00 AM,0,-13343663.8957,5979845.7032
59,Confluence Health Hospital Mares Campus,59,820 N. Chelan Avenue,Wenatchee,98801, ,(509) 663-8711,(509) 664-7178,Yes,No,No,No,https://www.confluencehealth.org/locations/confluence-health-hospital-mares-campus/,20,0,5/5/2025 12:00:00 AM,0,-13394304.7349,6013126.4185
60,Newport Hospital & Health Services,60,714 West Pine St.,Newport,99156,9046,(509) 447-2441,(509) 447-2281,Yes,No,Yes,Yes,https://newporthospitalandhealth.org/,25,0,5/5/2025 12:00:00 AM,0,-13029857.0971,6137257.2244
61,Garfield County Public Hospital District,61,66 N 6th Street,Pomeroy,99347,0880,(509) 843-1591,(509) 843-1234,Yes,No,Yes,Yes,https://www.garfieldcountyhospital.com/,25,0,5/5/2025 12:00:00 AM,0,-13091500.3076,5856878.5011
62,Cascade Medical,62,817 Commercial St,Leavenworth,98826,0330,(509) 548-5815,(509) 548-2510,Yes,No,Yes,Yes,https://cascademedical.org/,25,0,5/5/2025 12:00:00 AM,0,-13431897.3449,6039649.2145
63,Columbia Basin Hospital,63,200 Nat Washington Way,Ephrata,98823,1997,(509) 754-4631,(509) 754-6356,Yes,No,Yes,Yes,https://www.columbiabasinhospital.org/,25,0,5/5/2025 12:00:00 AM,0,-13307886.1955,5993574.8991
64,Columbia County Health System,64,1012 S 3rd St,Dayton,99328,1696,(509) 382-2531,(509) 382-3205,Yes,No,Yes,Yes,https://cchd-wa.org/,25,0,5/5/2025 12:00:00 AM,0,-13132388.587,5830506.0733
65,Forks Community Hospital,65,530 Bogachiel Way,Forks,98331,9120,(360) 374-6271,(360) 374-5220,Yes,No,Yes,Yes,https://www.forkshospital.org/,25,0,5/5/2025 12:00:00 AM,0,-13847319.5547,6097910.3146
66,Harbor Regional Health,66,915 Anderson Dr,Aberdeen,98520,1097,(360) 532-8330,(360) 537-5034,Yes,Yes,No,Yes,https://www.ghcares.org/,105,8,5/5/2025 12:00:00 AM,0,-13786605.6763,5938685.4491
67,Island Hospital,67,1211 24th St,Anacortes,98221,2590,(360) 299-1300,(360) 299-1339,Yes,Yes,No,Yes,https://islandhealth.org/,43,10,5/5/2025 12:00:00 AM,0,-13649513.5904,6190767.8442
68,Jefferson Healthcare,68,834 Sheridan St,Port Townsend,98368,2499,(360) 385-2200,(360) 379-2242,Yes,Yes,Yes,Yes,https://jeffersonhealthcare.org/,25,6,5/5/2025 12:00:00 AM,0,-13668839.3665,6124514.8316
69,Kadlec Regional Medical Center,69,888 Swift Blvd,Richland,99352,3542,(509) 946-4611,(509) 942-2679,Yes,Yes,No,Yes,https://www.providence.org/locations/kadlec/regional-medical-center,270,20,5/5/2025 12:00:00 AM,0,-13278406.6009,5825549.8918
70,Lincoln Hospital,70,10 Nicholls St,Davenport,99122,9729,(509) 725-7101,(509) 725-2112,Yes,No,Yes,Yes,https://www.lincolnhospital.org/,25,0,5/5/2025 12:00:00 AM,0,-13151881.294,6050133.7018
71,Providence Mt Carmel,71,982 E Columbia Ave,Colville,99114,3352,(509) 685-5100,(509) 685-2492,Yes,Yes,Yes,Yes,https://www.providence.org/locations/wa/mount-carmel-hospital,25,4,5/5/2025 12:00:00 AM,0,-13123760.7277,6197279.3717
72,Olympic Medical Center,72,939 Caroline St,Port Angeles,98362,3997,(360) 417-7000,(360) 417-7333,Yes,Yes,No,Yes,https://www.olympicmedical.org/,126,10,5/5/2025 12:00:00 AM,0,-13738497.9687,6126100.7565
73,PeaceHealth St. Joseph Medical Center,73,2901 Squalicum Parkway,Bellingham,98225,1898,(360) 734-5400,(360) 788-6393,Yes,Yes,No,Yes,https://www.peacehealth.org/hospitals/peacehealth-st-joseph-medical-center,255,34,5/5/2025 12:00:00 AM,20,-13633652.7517,6236485.0175
74,Samaritan Healthcare,74,801 E. Wheeler Rd,Moses Lake,98837,1899,(509) 765-5606,(509) 764-3236,Yes,Yes,No,Yes,https://www.samaritanhealthcare.com/,50,15,5/5/2025 12:00:00 AM,0,-13276540.0766,5963018.7253
75,Astria Sunnyside Hospital ,75,1016 Tacoma Avenue,Sunnyside,98944,2262,(509) 837-1500,(509) 837-1740,Yes,Yes,Yes,Yes,https://www.astria.health/locations/astria-sunnyside-hospital,37,7,5/5/2025 12:00:00 AM,0,-13359082.705,5832178.2616
76,Tri-State Memorial Hospital,76,1221 Highland Ave,Clarkston,99403,0189,(509) 758-5511,(509) 758-3566,Yes,Yes,Yes,Yes,https://www.tsh.org/,25,4,5/5/2025 12:00:00 AM,0,-13030431.6767,5845144.8093
77,MultiCare Mary Bridge Childrens Hospital and Health Network,77,317 Martin Luther King Jr Way,Tacoma,98405,4234,(253) 403-1400,(253) 403-1247,Yes,Yes,No,Yes,https://www.marybridge.org/,82,20,5/5/2025 12:00:00 AM,0,-13631587.5209,5984569.9592
78,WhidbeyHealth,78,101 North Main Street,Coupeville,98239,3413,(360) 678-7656,(360) 678-0945,Yes,Yes,Yes,Yes,https://whidbeyhealth.org/locations/whidbeyhealth-medical-center/,25,6,5/5/2025 12:00:00 AM,0,-13657156.7879,6142513.1126
79,Virginia Mason Downtown Medical Center,79,1100 Ninth Avenue,Seattle,98101,0900,(206) 624-1144,(206) 223-6976,Yes,Yes,No,No,https://www.vmfh.org/our-hospitals/virginia-mason-medical-center,371,47,5/5/2025 12:00:00 AM,0,-13617487.7614,6042022.2199
80,MultiCare Capital Medical Center,80,3900 Capital Mall Dr SW,Olympia,98502, ,(360) 754-5858,(360) 956-2574,Yes,Yes,No,Yes,https://www.multicare.org/location/capital-medical-center/,107,10,5/5/2025 12:00:00 AM,0,-13686930.2987,5949051.6364
81,Lourdes Counseling Center,81,1175 Carondelet Drive,Richland,99352,3396,(509) 943-9104,(509) 943-7206,No,No,No,No,https://www.yourlourdes.com/mental-health,44,0,5/5/2025 12:00:00 AM,21,-13278334.411,5825837.2542
82,Swedish Ballard,82,5300 Tallman Ave NW,Seattle,98107,3985,(206) 782-2700,(206) 781-6155,Yes,No,No,No,https://www.swedish.org/locations/ballard-campus,75,0,5/5/2025 12:00:00 AM,0,-13623229.155,6051694.9681
83,VA Puget Sound Health Care,83,1660 S. Columbian Way,Seattle,98108,1597,(206) 762-1010,(206) 764-2250,Yes,Yes,No,No,https://www.va.gov/puget-sound-health-care/,459,18,5/5/2025 12:00:00 AM,0,-13615267.1364,6034497.2109
84,Harborview Medical Center,84,325 Ninth Ave,Seattle,98104,2499,(206) 744-3000,(206) 744-8551,Yes,Yes,No,Yes,https://www.uwmedicine.org/locations/harborview-medical-center,413,97,5/5/2025 12:00:00 AM,45,-13617044.1586,6041202.4973
85,UW Medical Center - Northwest,85,1550 North 115th St,Seattle,98133,9733,(877) 364-0500,(206) 368-1949,Yes,Yes,No,Yes,https://www.uwmedicine.org/locations/northwest-hospital,281,15,5/5/2025 12:00:00 AM,27,-13618698.6305,6059297.3533
86,Overlake Medical Center ,86,1035 116th Ave NE,Bellevue,98004,4686,(425) 688-5000,(425) 688-5087,Yes,Yes,No,Yes,https://www.overlakehospital.org/,349,30,5/5/2025 12:00:00 AM,34,-13601814.1196,6043948.7558
87,MultiCare Yakima Memorial,87,2811 Tieton Drive,Yakima,98902,3761,(509) 575-8000,(509) 574-5800,Yes,Yes,No,Yes,https://www.multicare.org/location/yakima-memorial-hospital/,226,27,5/5/2025 12:00:00 AM,18,-13419336.0255,5876013.2318
88,Fairfax Behavioral Health - Kirkland,88,10200 NE 132nd St,Kirkland,98034,2899,(425) 821-2000,(425) 821-9010,No,No,No,No,http://www.fairfaxhospital.com,221,0,5/5/2025 12:00:00 AM,133,-13603717.4892,6060253.3287
89,EvergreenHealth Monroe,89,14701 179th Ave SE,Monroe,98272,0646,(360) 794-7497,(360) 794-1486,Yes,Yes,No,Yes,https://www.evergreenhealth.com/,35,4,5/5/2025 12:00:00 AM,14,-13579842.3753,6084295.5204
90,MultiCare Good Samaritan Hospital,90,401 15th Ave SE,Puyallup,98372,3851,(253) 697-4000,(253) 697-5174,Yes,Yes,No,Yes,https://www.multicare.org/location/good-samaritan-hospital/,286,90,5/5/2025 12:00:00 AM,0,-13613208.2089,5971370.0075
91,Swedish Cherry Hill,91,500 17th Ave,Seattle,98122,5711,(206) 320-2000,(206) 320-3154,Yes,Yes,No,No,https://www.swedish.org/locations/cherry-hill-campus,227,246,5/5/2025 12:00:00 AM,22,-13615553.4818,6041839.9867
92,Franciscan Health St. Elizabeth Hospital,92,1455 Battersby Avenue,Enumclaw,98022,0218,(360) 802-8800,(360) 802-3235,Yes,Yes,Yes,Yes,https://www.vmfh.org/our-hospitals/st-elizabeth-hospital,25,4,5/5/2025 12:00:00 AM,0,-13579624.7659,5976285.1777
93,Kaiser Permanente Central Hospital,93,201 16th Avenue East,Seattle,98112,5298,(206) 326-4436,(206) 448-5105,Yes,No,No,No,https://healthy.kaiserpermanente.org/washington/facilities/Kaiser-Permanente-Central-Hospital-340035,72,0,5/5/2025 12:00:00 AM,0,-13615716.0245,6043864.6149
94,Franciscan Health St. Anne Hospital,94,16251 Sylvester Rd SW,Burien,98166,0657,(206) 244-9970,(206) 248-5385,Yes,Yes,No,Yes,https://www.vmfh.org/our-hospitals/st-anne-hospital,133,10,5/5/2025 12:00:00 AM,0,-13619184.0862,6017061.4647
95,Providence St. Peter Hospital ,95,413 Lilly Rd NE,Olympia,98506,5166,(360) 491-9480,(360) 493-4277,Yes,Yes,No,Yes,https://www.providence.org/locations/wa/st-peter-hospital,390,42,5/5/2025 12:00:00 AM,20,-13675308.5044,5950719.8252
96,Franciscan Health St. Clare Hospital,96,11315 Bridgeport Way SW,Lakewood,98499,3070,(253) 588-1711,(253) 584-3001,Yes,Yes,No,Yes,https://www.vmfh.org/our-hospitals/st-clare-hospital,106,10,5/5/2025 12:00:00 AM,0,-13636864.7139,5967297.8646
97,Franciscan Health St. Francis Hospital,97,34515 9th Avenue South,Federal Way,98003,6799,(253) 944-8100,(253) 944-7988,Yes,Yes,No,Yes,https://www.vmfh.org/our-hospitals/st-francis-hospital,124,14,5/5/2025 12:00:00 AM,0,-13617423.0266,5989981.3481
98,Legacy Salmon Creek Medical Center ,98,2211 NE 139th Street,Vancouver,98686,2742,(360) 487-1000,(360) 487-3459,Yes,Yes,No,Yes,https://www.legacyhealth.org/doctors-and-locations/hospitals/legacy-salmon-creek-medical-center,220,16,5/5/2025 12:00:00 AM,0,-13653139.7953,5735748.8187
99,MultiCare Allenmore Hospital,99,1901 S. Union Ave,Tacoma,98411,0414,(253) 459-6633,(253) 459-6440,Yes,Yes,No,No,https://www.multicare.org/location/allenmore-hospital/,70,6,5/5/2025 12:00:00 AM,0,-13634528.6283,5981606.5105
100,Franciscan Health St. Anthony Hospital,100,11567 Canterwood Blvd NW,Gig Harbor,98332,5812,(253) 530-2000, ,Yes,Yes,No,Yes,https://www.vmfh.org/our-hospitals/st-anthony-hospital,112,16,5/5/2025 12:00:00 AM,0,-13649277.9705,6001531.2405
101,Swedish Issaquah,101,751 NE Blakely Drive,Issaquah,98029, ,(425) 313-4000,(425) 313-7908,Yes,Yes,No,No,https://www.swedish.org/locations/issaquah-campus,144,18,5/5/2025 12:00:00 AM,0,-13583411.2938,6029964.9727
102,MultiCare Tacoma General Hospital ,102,315 Martin Luther King Jr. Way,Tacoma,98405,4291,(253) 403-1000,(253) 403-1180,Yes,Yes,No,Yes,https://www.multicare.org/location/tacoma-general-hospital/,567,43,5/5/2025 12:00:00 AM,0,-13631373.7208,5984502.696
103,Peacehealth Peace Island Medical Center,103,1117 Spring Street,Friday Harbor,98250, ,(360) 378-2141,(360) 788-6393,Yes,No,Yes,No,https://www.peacehealth.org/hospitals/peacehealth-peace-island-medical-center,25,0,5/5/2025 12:00:00 AM,0,-13695402.8049,6195387.6254
104,Summit Pacific Medical Center,104,600 East Main Street,Elma,98541, ,(360) 346-2222,(360) 346-2160,Yes,No,Yes,Yes,https://summitpacificmedicalcenter.org/,25,0,5/5/2025 12:00:00 AM,0,-13736042.4594,5943208.1562
105,Kindred Hospital Seattle - First Hill,105,1334 Terry Ave,Seattle,98101,2747,(206) 682-2661,(206) 682-2470,Yes,No,No,No,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-seattle-first-hill,80,6,5/5/2025 12:00:00 AM,0,-13617557.8848,6042528.933
106,MultiCare Covington Medical Center,106,17700 SE 272nd St,Covington,98042, ,(235) 372-6500, ,Yes,No,No,No,https://www.multicare.org/location/covington-medical-center/,58,0,5/5/2025 12:00:00 AM,0,-13592518.7118,6000888.9931
107,Smokey Point Behavioral Hospital,107,3955 156th St NE,Marysville,98271, ,(360) 651-6400, ,No,No,No,No,https://www.smokeypointbehavioralhospital.com/,115,0,5/5/2025 12:00:00 AM,115,-13600958.0208,6129970.7039
108,Fairfax Behavioral Health - Everett,108,916 Pacific Ave,Everett,98201, ,(425) 446-3000, ,No,No,No,No,https://fairfaxhospital.com/,30,0,5/5/2025 12:00:00 AM,30,-13605106.4381,6102780.5413
109,Fairfax Behavioral Health - Monroe,109,14701 179th Ave SE,Monroe,98272, ,(360) 365-5300, ,No,No,No,No,https://fairfaxhospital.com/,34,0,5/5/2025 12:00:00 AM,34,-13579622.7809,6084151.7384
110,Rainier Springs,110,2805 NE 129th St,Vancouver,98686, ,(360) 356-1890, ,No,No,No,No,https://rainiersprings.com/,72,0,5/5/2025 12:00:00 AM,72,-13652465.0283,5734671.434
111,Inland Northwest Behavioral Health,111,104 W 5th Ave,Spokane,99204, ,(509) 992-1888, ,No,No,No,No,https://inlandnorthwestbh.com/,100,0,5/5/2025 12:00:00 AM,100,-13070505.2211,6049064.4283
112,Wellfound Behavioral Health Hospital,112,3402 S 19th St,Tacoma,98405, ,(253) 301-5400, ,No,No,No,No,https://www.wellfound.org/,120,0,5/5/2025 12:00:00 AM,120,-13634486.7129,5981633.0082
113,South Sound Behavioral Hospital,113,605 Woodland Square Loop SE,Lacey,98503, ,(360) 764-8400, ,No,No,No,No,https://www.southsoundbehavioralhospital.com/,108,0,5/5/2025 12:00:00 AM,108,-13673106.5783,5949022.2803
114,Fred Hutch Hospital at UWMC-Montlake,114,1959 NE Pacific St.,Seattle,98195, ,(206) 598-3300, ,No,No,No,No,https://www.fredhutch.org/en.html,20,0,5/5/2025 12:00:00 AM,0,-13615102.7346,6048715.7772
115,Virginia Mason Franciscan Health Rehabilitation Hospital,115,815 South Vassault Street,Tacoma,98407, ,(253) 444-3320, ,No,No,No,No,https://www.vmfh.org/our-hospitals/rehabilitation-hospital,60,0,5/5/2025 12:00:00 AM,60,-13638855.0886,5983463.7974
